// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
opcode;arguments;argumentTypes;argumentNames;name;typeName;hidden;privileged;nonPrivileged;hint;categoryName;categoryColor;categoryDescription
noop;;;;Invalid;Invalid;false;false;false;;unknown;4c4c4cff;Uncategorized instructions.
read;result cell1 0;var var var;output target address;Read;Read;false;false;false;Read a number from a linked memory cell.%0ACan also read from variables in other processors.;io;a08a8aff;Modify contents of memory blocks and processor buffers.
write;result cell1 0;var var var;input target address;Write;Write;false;false;false;Write a number to a linked memory cell.%0ACan also write to variables in other processors.;io;a08a8aff;Modify contents of memory blocks and processor buffers.
draw;clear 0 0 0 0 0 0;GraphicsType var var var var var var;type x y p1 p2 p3 p4;Draw;Draw;false;false;false;Add an operation to the drawing buffer.%0ADoes not display anything until [accent]Draw Flush[] is used.;io;a08a8aff;Modify contents of memory blocks and processor buffers.
print;"frog";var;value;Print;Print;false;false;false;Add text to the print buffer.%0ADoes not display anything until [accent]Print Flush[] is used.;io;a08a8aff;Modify contents of memory blocks and processor buffers.
printchar;65;var;value;Print Char;PrintChar;false;false;false;Add a UTF-16 character or content icon to the print buffer.%0ADoes not display anything until [accent]Print Flush[] is used.;io;a08a8aff;Modify contents of memory blocks and processor buffers.
format;"frog";var;value;Format;Format;false;false;false;Replace next placeholder in text buffer with a value.%0ADoes not do anything if placeholder pattern is invalid.%0APlaceholder pattern: "{[accent]number 0-9[]}"%0AExample:%0A[accent]print "test {0}"%0Aformat "example";io;a08a8aff;Modify contents of memory blocks and processor buffers.
drawflush;display1;var;target;Draw Flush;DrawFlush;false;false;false;Flush queued [accent]Draw[] operations to a display.;block;d4816bff;Interact with blocks.
printflush;message1;var;target;Print Flush;PrintFlush;false;false;false;Flush queued [accent]Print[] operations to a message block.;block;d4816bff;Interact with blocks.
getlink;result 0;var var;output address;Get Link;GetLink;false;false;false;Get a processor link by index. Starts at 0.;block;d4816bff;Interact with blocks.
control;enabled block1 0 0 0 0;LAccess var var var var var;type target p1 p2 p3 p4;Control;Control;false;false;false;Control a building.;block;d4816bff;Interact with blocks.
radar;enemy any any distance turret1 1 result;RadarTarget RadarTarget RadarTarget RadarSort var var var;target1 target2 target3 sort radar sortOrder output;Radar;Radar;false;false;false;Locate units around a building with range.;block;d4816bff;Interact with blocks.
sensor;result block1 @copper;var var var;to from type;Sensor;Sensor;false;false;false;Get data from a building or unit.;block;d4816bff;Interact with blocks.
set;result 0;var var;to from;Set;Set;false;false;false;Set a variable.;operation;877badff;Logical operations.
op;add result a b;LogicOp var var var;op dest a b;Operation;Operation;false;false;false;Perform an operation on 1-2 variables.;operation;877badff;Logical operations.
select;result notEqual x false a b;var ConditionOp var var var var;result op comp0 comp1 a b;Select;Select;false;false;false;;operation;877badff;Logical operations.
wait;0.5;var;value;Wait;Wait;false;false;false;Wait a certain number of seconds.;control;6bb2b2ff;Manage execution order.
stop;;;;Stop;Stop;false;false;false;Halt execution of this processor.;control;6bb2b2ff;Manage execution order.
lookup;item result 0;ContentType var var;type result id;Lookup;Lookup;false;false;false;Look up an item/liquid/unit/block type by ID.%0ATotal counts of each type can be accessed with:%0A[accent]@unitCount[] / [accent]@itemCount[] / [accent]@liquidCount[] / [accent]@blockCount[]%0AFor the inverse operation, sense [accent]@id[] of the object.;operation;877badff;Logical operations.
packcolor;result 1 0 0 1;var var var var var;result r g b a;Pack Color;PackColor;false;false;false;Pack [0, 1] RGBA components into a single number for drawing or rule-setting.;operation;877badff;Logical operations.
unpackcolor;r g b a color;var var var var var;r g b a value;Unpack Color;UnpackColor;false;false;false;Unpack RGBA components from a color that was packed using Pack Color.;operation;877badff;Logical operations.
end;;;;End;End;false;false;false;Jump to the top of the instruction stack.;control;6bb2b2ff;Manage execution order.
