// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;width;height
additive-reconstructor;96;96
additive-reconstructor-top;96;96
advanced-launch-pad;128;128
advanced-launch-pad-light;62;62
advanced-launch-pad-pod;72;72
advanced-launch-pad-preview;128;128
aegires;212;235
aegires-cell;180;228
aegires-wreck0;212;229
aegires-wreck1;176;235
aegires-wreck2;212;235
afflict;64;126
afflict-blade-glow-heat;96;92
afflict-blade-heat;46;114
afflict-blade-l;118;114
afflict-blade-l-outline;126;122
afflict-blade-r;118;114
afflict-blade-r-outline;126;122
afflict-outline;72;128
afflict-preview;126;130
air-factory;96;96
alpha;46;46
alpha-bg;128;128
alpha-bg-line;128;16
alpha-cell;12;38
alpha-wreck0;46;46
alpha-wreck1;40;38
alpha-wreck2;46;46
alphaaaa;40;36
anthicus;92;113
anthicus-blade;37;11
anthicus-blade-heat;45;23
anthicus-blade-outline;43;17
anthicus-cell;70;107
anthicus-leg;51;45
anthicus-leg-base;64;41
anthicus-missile;28;28
anthicus-missile-cell;10;18
anthicus-missile-wreck0;8;12
anthicus-missile-wreck1;24;28
anthicus-missile-wreck2;28;28
anthicus-weapon;26;44
anthicus-weapon-blade;34;42
anthicus-weapon-blade-heat;34;26
anthicus-weapon-blade-outline;40;48
anthicus-weapon-heat;24;50
anthicus-weapon-outline;32;50
anthicus-wreck0;86;105
anthicus-wreck1;90;95
anthicus-wreck2;92;113
antumbra;216;240
antumbra-cell;200;168
antumbra-wreck0;216;226
antumbra-wreck1;184;240
antumbra-wreck2;216;238
arc;34;34
arc-heat;18;26
arkycite-floor;32;32
arkycite-floor-edge;96;96
arkyic-boulder-shadow1;70;70
arkyic-boulder-shadow2;70;70
arkyic-boulder-shadow3;70;70
arkyic-boulder1;46;48
arkyic-boulder2;46;40
arkyic-boulder3;38;40
arkyic-stone-edge;96;96
arkyic-stone1;32;32
arkyic-stone2;32;32
arkyic-stone3;32;32
arkyic-vent1;96;96
arkyic-vent2;96;96
arkyic-wall-large;64;64
arkyic-wall1;32;32
arkyic-wall2;32;32
arkyic-wall3;32;32
arkyid;128;96
arkyid-cell;106;96
arkyid-foot;58;70
arkyid-joint-base;60;60
arkyid-leg;56;56
arkyid-leg-base;104;54
arkyid-wreck0;128;106
arkyid-wreck1;112;122
arkyid-wreck2;128;114
armored-conveyor-0-0;32;32
armored-conveyor-0-1;32;32
armored-conveyor-0-2;32;32
armored-conveyor-0-3;32;32
armored-conveyor-1-0;32;32
armored-conveyor-1-1;32;32
armored-conveyor-1-2;32;32
armored-conveyor-1-3;32;32
armored-conveyor-2-0;32;32
armored-conveyor-2-1;32;32
armored-conveyor-2-2;32;32
armored-conveyor-2-3;32;32
armored-conveyor-3-0;32;32
armored-conveyor-3-1;32;32
armored-conveyor-3-2;32;32
armored-conveyor-3-3;32;32
armored-conveyor-4-0;32;32
armored-conveyor-4-1;32;32
armored-conveyor-4-2;32;32
armored-conveyor-4-3;32;32
armored-duct-top-0;32;32
armored-duct-top-1;32;32
armored-duct-top-2;32;32
armored-duct-top-3;32;32
armored-duct-top-4;32;32
arrow-glow;32;32
artillery;34;50
artillery-mount;32;64
artillery-outline;40;56
assembly-drone;46;53
assembly-drone-cell;18;51
assembly-drone-wreck0;44;47
assembly-drone-wreck1;46;53
assembly-drone-wreck2;46;47
atmospheric-concentrator;96;96
atmospheric-concentrator-bottom;96;96
atmospheric-concentrator-heat;96;96
atrax;60;64
atrax-base;42;42
atrax-cell;34;62
atrax-foot;40;40
atrax-joint;26;26
atrax-leg;36;26
atrax-leg-base;36;26
atrax-weapon;26;50
atrax-weapon-outline;32;56
atrax-wreck0;80;64
atrax-wreck1;80;56
atrax-wreck2;80;58
avert;90;92
avert-cell;50;60
avert-weapon;36;43
avert-weapon-outline;42;49
avert-wreck0;90;88
avert-wreck1;90;92
avert-wreck2;60;96
bar;27;36
bar-top;27;36
basalt-boulder1;46;46
basalt-boulder2;46;46
basalt-edge;96;96
basalt-vent1;96;96
basalt-vent2;96;96
basalt1;32;32
basalt2;32;32
basalt3;32;32
basic-assembler-module;160;160
basic-assembler-module-side1;160;124
basic-assembler-module-side2;160;124
basic-assembler-module-top;4;4
battery;32;32
battery-large;96;96
battery-large-top;96;96
battery-top;32;32
beam-link;96;96
beam-link-glow;120;120
beam-node;32;32
beam-tower;96;96
beam-weapon;28;60
beam-weapon-outline;34;66
beryllic-boulder1;46;48
beryllic-boulder2;46;48
beryllic-stone-edge;96;96
beryllic-stone-wall-large;64;64
beryllic-stone-wall1;32;32
beryllic-stone-wall2;32;32
beryllic-stone1;32;32
beryllic-stone2;32;32
beryllic-stone3;32;32
beryllic-stone4;32;32
beryllium-wall;32;32
beryllium-wall-large;64;64
beta;54;52
