// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;health;size;itemCapacity;speed;payloadCapacity
dagger;0;0;150.0;1.0;30;3.75;0.0
mace;1;1;550.0;1.25;40;3.75;0.0
fortress;2;2;900.0;1.625;50;3.2250001;0.0
scepter;3;3;9000.0;2.75;80;2.7;0.0
reign;4;4;24000.0;3.75;120;3.0;0.0
nova;5;5;120.0;1.0;30;4.125;0.0
pulsar;6;6;320.0;1.375;40;5.25;0.0
quasar;7;7;640.0;1.625;50;3.75;0.0
vela;8;8;8200.0;3.0;90;3.3;0.0
corvus;9;9;18000.0;3.625;110;2.25;0.0
crawler;10;10;150.0;1.0;30;7.5;0.0
atrax;11;11;600.0;1.625;50;4.5;0.0
spiroct;12;12;1000.0;1.875;60;4.05;0.0
arkyid;13;13;8000.0;2.875;90;4.65;0.0
toxopid;14;14;22000.0;3.25;100;3.75;0.0
flare;15;15;70.0;1.125;10;20.25;0.0
horizon;16;16;340.0;1.375;0;12.375;0.0
zenith;17;17;700.0;2.5;80;12.75;0.0
antumbra;18;18;7200.0;5.75;180;6.0;0.0
eclipse;19;19;22000.0;7.25;230;4.05;0.0
mono;20;20;100.0;0.75;20;11.25;0.0
poly;21;21;400.0;1.125;30;19.5;0.0
mega;22;22;460.0;2.00625;60;18.75;4.0
quad;23;23;6000.0;4.5;140;9.0;9.0
oct;24;24;24000.0;8.25;260;6.0;30.25
risso;25;25;280.0;1.25;40;8.25;0.0
minke;26;26;600.0;1.625;50;6.75;0.0
bryde;27;27;910.0;2.5;80;6.375;0.0
sei;28;28;11000.0;4.875;150;5.4750004;0.0
omura;29;29;22000.0;7.25;230;4.65;0.0
retusa;30;30;270.0;1.375;40;6.75;0.0
oxynoe;31;31;560.0;1.75;50;6.225;0.0
cyerce;32;32;870.0;2.5;80;6.4500003;0.0
aegires;33;33;12000.0;5.5;170;5.25;0.0
navanax;34;34;20000.0;7.25;230;4.875;0.0
alpha;35;35;150.0;1.0;30;22.5;0.0
beta;36;36;170.0;1.125;50;24.75;0.0
gamma;37;37;220.0;1.375;70;26.625;0.0
stell;38;38;850.0;1.5;0;5.625;0.0
locus;39;39;2100.0;2.25;0;5.25;0.0
precept;40;40;5000.0;3.0;0;4.7999997;0.0
vanquish;41;41;11000.0;3.5;0;4.725;0.0
conquer;42;42;22000.0;5.75;180;3.6;0.0
merui;43;43;680.0;1.125;30;5.4;0.0
cleroi;44;44;1100.0;1.75;50;4.5;0.0
anthicus;45;45;2900.0;2.625;80;4.875;0.0
anthicus-missile;46;-1;55.0;0.75;20;27.75;0.0
tecta;47;46;6500.0;3.75;120;4.5;0.0
collaris;48;47;18000.0;5.5;170;8.25;0.0
elude;49;48;600.0;1.375;0;13.5;0.0
avert;50;49;1100.0;1.5;0;15.0;0.0
obviate;51;50;2300.0;3.125;0;13.5;0.0
quell;52;51;6000.0;4.5;140;8.25;9.0
quell-missile;53;-1;45.0;0.75;20;32.25;0.0
disrupt;54;52;12000.0;5.75;180;7.5;36.0
disrupt-missile;55;-1;70.0;0.75;20;34.5;0.0
renale;56;-1;500.0;1.125;30;9.0;0.0
latum;57;-1;20000.0;6.0;190;7.5;0.0
evoke;58;53;300.0;1.125;60;42.0;4.0
incite;59;54;500.0;1.375;90;52.5;4.0
emanate;60;55;700.0;1.5;110;56.25;4.0
block;61;-1;1.0;0.0;0;0.0;0.0
manifold;62;-1;200.0;1.375;100;26.25;0.0
assembly-drone;63;-1;90.0;0.75;20;9.75;0.0
scathe-missile;64;-1;240.0;0.75;20;34.5;0.0
scathe-missile-phase;65;-1;500.0;0.75;20;30.0;0.0
scathe-missile-surge;66;-1;300.0;0.75;20;33.0;0.0
scathe-missile-surge-split;67;-1;50.0;0.75;20;36.0;0.0
turret-unit-build-tower;68;-1;1.0;0.0;0;0.0;0.0
