// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;global;isobj;constant;numval;isnull;privileged
@additive-reconstructor;global;true;true;0.0;false;false
@advanced-launch-pad;global;true;true;0.0;false;false
@aegires;global;true;true;0.0;false;false
@afflict;global;true;true;0.0;false;false
@air;global;true;true;0.0;false;false
@air-factory;global;true;true;0.0;false;false
@alpha;global;true;true;0.0;false;false
@ammo;global;true;true;0.0;false;false
@ammoCapacity;global;true;true;0.0;false;false
@anthicus;global;true;true;0.0;false;false
@anthicus-missile;global;true;true;0.0;false;false
@antumbra;global;true;true;0.0;false;false
@arc;global;true;true;0.0;false;false
@arkycite;global;true;true;0.0;false;false
@arkycite-floor;global;true;true;0.0;false;false
@arkyic-boulder;global;true;true;0.0;false;false
@arkyic-stone;global;true;true;0.0;false;false
@arkyic-vent;global;true;true;0.0;false;false
@arkyic-wall;global;true;true;0.0;false;false
@arkyid;global;true;true;0.0;false;false
@armor;global;true;true;0.0;false;false
@armored-conveyor;global;true;true;0.0;false;false
@armored-duct;global;true;true;0.0;false;false
@assembly-drone;global;true;true;0.0;false;false
@atmospheric-concentrator;global;true;true;0.0;false;false
@atrax;global;true;true;0.0;false;false
@avert;global;true;true;0.0;false;false
@basalt;global;true;true;0.0;false;false
@basalt-boulder;global;true;true;0.0;false;false
@basalt-vent;global;true;true;0.0;false;false
@basic-assembler-module;global;true;true;0.0;false;false
@battery;global;true;true;0.0;false;false
@battery-large;global;true;true;0.0;false;false
@beam-link;global;true;true;0.0;false;false
@beam-node;global;true;true;0.0;false;false
@beam-tower;global;true;true;0.0;false;false
@beryllic-boulder;global;true;true;0.0;false;false
@beryllic-stone;global;true;true;0.0;false;false
@beryllic-stone-wall;global;true;true;0.0;false;false
@beryllium;global;true;true;0.0;false;false
@beryllium-wall;global;true;true;0.0;false;false
@beryllium-wall-large;global;true;true;0.0;false;false
@beta;global;true;true;0.0;false;false
@blast-compound;global;true;true;0.0;false;false
@blast-door;global;true;true;0.0;false;false
@blast-drill;global;true;true;0.0;false;false
@blast-mixer;global;true;true;0.0;false;false
@blockCount;global;false;true;260.0;true;false
@blue;global;true;true;0.0;false;false
@bluemat;global;true;true;0.0;false;false
@boosting;global;true;true;0.0;false;false
@bottom;global;false;true;4.0;true;false
@bottomLeft;global;false;true;12.0;true;false
@bottomRight;global;false;true;20.0;true;false
@boulder;global;true;true;0.0;false;false
@breach;global;true;true;0.0;false;false
@bridge-conduit;global;true;true;0.0;false;false
@bridge-conveyor;global;true;true;0.0;false;false
@bryde;global;true;true;0.0;false;false
@bufferSize;global;true;true;0.0;false;false
@build-tower;global;true;true;0.0;false;false
@build1;global;true;true;0.0;false;false
@build10;global;true;true;0.0;false;false
@build11;global;true;true;0.0;false;false
@build12;global;true;true;0.0;false;false
@build13;global;true;true;0.0;false;false
@build14;global;true;true;0.0;false;false
@build15;global;true;true;0.0;false;false
@build16;global;true;true;0.0;false;false
@build2;global;true;true;0.0;false;false
@build3;global;true;true;0.0;false;false
@build4;global;true;true;0.0;false;false
@build5;global;true;true;0.0;false;false
@build6;global;true;true;0.0;false;false
@build7;global;true;true;0.0;false;false
@build8;global;true;true;0.0;false;false
@build9;global;true;true;0.0;false;false
@cameraHeight;global;true;true;0.0;false;false
@cameraWidth;global;true;true;0.0;false;false
@cameraX;global;true;true;0.0;false;false
@cameraY;global;true;true;0.0;false;false
@canvas;global;true;true;0.0;false;false
@carbide;global;true;true;0.0;false;false
@carbide-crucible;global;true;true;0.0;false;false
@carbide-wall;global;true;true;0.0;false;false
@carbide-wall-large;global;true;true;0.0;false;false
@carbon-boulder;global;true;true;0.0;false;false
@carbon-stone;global;true;true;0.0;false;false
@carbon-vent;global;true;true;0.0;false;false
@carbon-wall;global;true;true;0.0;false;false
@center;global;false;true;1.0;true;false
@char;global;true;true;0.0;false;false
@character-overlay;global;true;true;0.0;false;false
@character-overlay-white;global;true;true;0.0;false;false
@chemical-combustion-chamber;global;true;true;0.0;false;false
@cleroi;global;true;true;0.0;false;false
@client;global;false;true;0.0;true;true
@clientLocale;global;true;true;0.0;true;true
@clientMobile;global;false;true;0.0;true;true
@clientName;global;true;true;0.0;true;true
@clientTeam;global;false;true;0.0;true;true
@clientUnit;global;true;true;0.0;true;true
@cliff;global;true;true;0.0;false;false
@cliff-crusher;global;true;true;0.0;false;false
@coal;global;true;true;0.0;false;false
@coal-centrifuge;global;true;true;0.0;false;false
@collaris;global;true;true;0.0;false;false
@color;global;true;true;0.0;false;false
@colorAccent;global;false;true;2.120554921E-314;true;false
@colorAcid;global;false;true;1.0609656424E-314;true;false
@colorBlack;global;false;true;1.26E-321;true;false
@colorBlue;global;false;true;5.42216382E-315;true;false
@colorBrick;global;false;true;1.4765555137E-314;true;false
@colorBrown;global;false;true;1.154414088E-314;true;false
@colorClear;global;false;true;0.0;true;false
@colorCoral;global;false;true;2.1178291333E-314;true;false
@colorCrimson;global;false;true;1.8242454294E-314;true;false
@colorCyan;global;false;true;8.2890456E-317;true;false
@colorDarkgray;global;false;true;5.242578784E-315;true;false
@colorDarkgrey;global;false;true;5.242578784E-315;true;false
@colorForest;global;false;true;2.863326853E-315;true;false
@colorGold;global;false;true;2.1206683744E-314;true;false
@colorGoldenrod;global;false;true;1.8123587633E-314;true;false
@colorGray;global;false;true;1.0568371824E-314;true;false
@colorGreen;global;false;true;4.71128857E-315;true;false
@colorGrey;global;false;true;1.0568371824E-314;true;false
@colorHighlight;global;false;true;2.1209806555E-314;true;false
@colorLightgray;global;false;true;1.5894164864E-314;true;false
@colorLightgrey;global;false;true;1.5894164864E-314;true;false
@colorLime;global;false;true;4.210964656E-315;true;false
@colorMagenta;global;false;true;2.1137391235E-314;true;false
@colorMaroon;global;false;true;1.4604385706E-314;true;false
