// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;copper;lead;metaglass;graphite;sand;coal;titanium;thorium;scrap;silicon;plastanium;phase-fabric;surge-alloy;spore-pod;blast-compound;pyratite
air;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spawn;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cliff;2;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build1;3;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build2;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build3;5;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build4;6;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build5;7;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build6;8;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build7;9;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build8;10;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build9;11;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build10;12;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build11;13;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build12;14;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build13;15;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build14;16;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build15;17;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
build16;18;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deepwater;19;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
water;20;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tainted-water;21;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
darksand-tainted-water;22;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand-water;23;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
darksand-water;24;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tar;25;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
slag;26;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
space;27;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stone;28;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
craters;29;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
char;30;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
basalt;31;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hotrock;32;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
magmarock;33;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand;34;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
darksand;35;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dirt;36;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mud;37;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dacite;38;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grass;39;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
salt;40;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow;41;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ice;42;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ice-snow;43;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shale;44;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stone-wall;45;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-wall;46;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dirt-wall;47;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dacite-wall;48;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ice-wall;49;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow-wall;50;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dune-wall;51;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand-wall;52;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
salt-wall;53;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shrubs;54;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
