// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;visibility;size;subclass;legacy;configurable;category;range;hasItems;acceptsItems;separateItemCapacity;itemCapacity;noSideBlend;unloadable;hasLiquids;outputsLiquid;liquidCapacity;hasPower;consumesPower;outputsPower;connectedPower;conductivePower;maxNodes;outputFacing;rotate;unitPlans;iptDefault;iptLimit;instructionScale
air;0;-1;hidden;1;AirBlock;false;false;distribution;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
spawn;1;-1;hidden;1;SpawnBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
cliff;2;-1;hidden;1;Cliff;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build1;3;-1;hidden;1;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build2;4;-1;hidden;2;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build3;5;-1;hidden;3;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build4;6;-1;hidden;4;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build5;7;-1;hidden;5;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build6;8;-1;hidden;6;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build7;9;-1;hidden;7;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build8;10;-1;hidden;8;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build9;11;-1;hidden;9;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build10;12;-1;hidden;10;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build11;13;-1;hidden;11;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build12;14;-1;hidden;12;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build13;15;-1;hidden;13;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
