// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
opcode;arguments;argumentTypes;argumentNames;name;typeName;hidden;privileged;nonPrivileged;hint;categoryName;categoryColor;categoryDescription
noop;;;;Invalid;Invalid;false;false;false;;;4c4c4cff;
read;result cell1 0;var var var;output target address;Read;Read;false;false;false;Read a number from a linked memory cell.;;a08a8aff;
write;result cell1 0;var var var;input target address;Write;Write;false;false;false;Write a number to a linked memory cell.;;a08a8aff;
draw;clear 0 0 0 0 0 0;GraphicsType var var var var var var;type x y p1 p2 p3 p4;Draw;Draw;false;false;false;Add an operation to the drawing buffer.%0ADoes not display anything until [accent]Draw Flush[] is used.;;a08a8aff;
print;frog;var;value;Print;Print;false;false;false;Add text to the print buffer.%0ADoes not display anything until [accent]Print Flush[] is used.;;a08a8aff;
drawflush;display1;var;target;Draw Flush;DrawFlush;false;false;false;Flush queued [accent]Draw[] operations to a display.;;d4816bff;
printflush;message1;var;target;Print Flush;PrintFlush;false;false;false;Flush queued [accent]Print[] operations to a message block.;;d4816bff;
getlink;result 0;var var;output address;Get Link;GetLink;false;false;false;Get a processor link by index. Starts at 0.;;d4816bff;
control;enabled block1 0 0 0 0;LAccess var var var var var;type target p1 p2 p3 p4;Control;Control;false;false;false;Control a building.;;d4816bff;
radar;enemy any any distance turret1 1 result;RadarTarget RadarTarget RadarTarget RadarSort var var var;target1 target2 target3 sort radar sortOrder output;Radar;Radar;false;false;false;Locate units around a building with range.;;d4816bff;
sensor;result block1 @copper;var var var;to from type;Sensor;Sensor;false;false;false;Get data from a building or unit.;;d4816bff;
set;result 0;var var;to from;Set;Set;false;false;false;Set a variable.;;877badff;
op;add result a b;LogicOp var var var;op dest a b;Operation;Operation;false;false;false;Perform an operation on 1-2 variables.;;877badff;
end;;;;End;End;false;false;false;Jump to the top of the instruction stack.;;6bb2b2ff;
jump;0 notEqual x false;int ConditionOp var var;destIndex op value compare;Jump;Jump;false;false;false;Conditionally jump to another statement.;;6bb2b2ff;
ubind;@poly;var;type;Unit Bind;UnitBind;false;false;false;Bind to the next unit of a type, and store it in [accent]@unit[].;;c7b59dff;
ucontrol;move 0 0 0 0 0;LUnitControl var var var var var;type p1 p2 p3 p4 p5;Unit Control;UnitControl;false;false;false;Control the currently bound unit.;;c7b59dff;
uradar;enemy any any distance 0 1 result;RadarTarget RadarTarget RadarTarget RadarSort var var var;target1 target2 target3 sort radar sortOrder output;Unit Radar;UnitRadar;false;false;false;Locate units around the currently bound unit.;;c7b59dff;
ulocate;building core true @copper outx outy found building;LLocate BlockFlag var var var var var var;locate flag enemy ore outX outY outFound outBuild;Unit Locate;UnitLocate;false;false;false;Locate a specific type of position/building anywhere on the map.%0ARequires a bound unit.;;c7b59dff;
