// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;color;emoji;hasPalette;palette0;palette1;palette2
derelict;0;0;4d4e58ff;;false;4d4e58ff;393a42ff;26272cff
sharded;1;1;ffd37fff;;true;ffd37fff;eab678ff;d4816bff
crux;2;2;f25555ff;;true;fc8e6cff;f25555ff;a04553ff
green;3;3;54d67dff;;false;54d67dff;3fa05dff;2a6b3eff
purple;4;4;995bb0ff;;false;995bb0ff;724484ff;4c2d58ff
blue;5;5;5a4debff;;false;5a4debff;4339b0ff;2d2675ff
team#6;6;6;f538adff;;false;f538adff;b72a82ff;7a1c56ff
team#7;7;7;16d164ff;;false;16d164ff;119d4bff;0b6832ff
team#8;8;8;1215ceff;;false;1215ceff;0e109aff;090a67ff
team#9;9;9;2375eeff;;false;2375eeff;1a58b3ff;113a77ff
team#10;10;10;4549ecff;;false;4549ecff;3437b1ff;222476ff
team#11;11;11;df6a07ff;;false;df6a07ff;a74f05ff;6f3503ff
team#12;12;12;8115d1ff;;false;8115d1ff;610f9cff;400a68ff
team#13;13;13;2eda4fff;;false;2eda4fff;23a33bff;176d27ff
team#14;14;14;13d5a1ff;;false;13d5a1ff;0ea079ff;096a50ff
team#15;15;15;eaa640ff;;false;eaa640ff;af7c30ff;755320ff
team#16;16;16;d0d249ff;;false;d0d249ff;9c9d36ff;686924ff
team#17;17;17;379cfaff;;false;379cfaff;2975bbff;1b4e7dff
team#18;18;18;d07a15ff;;false;d07a15ff;9c5b0fff;683d0aff
team#19;19;19;d4910fff;;false;d4910fff;9f6d0bff;6a4807ff
team#20;20;20;fcfa45ff;;false;fcfa45ff;bdbb33ff;7e7d22ff
team#21;21;21;dea03bff;;false;dea03bff;a7782cff;6f501dff
team#22;22;22;3d92cfff;;false;3d92cfff;2d6d9bff;1e4967ff
team#23;23;23;042be7ff;;false;042be7ff;0320adff;021573ff
team#24;24;24;d89a1dff;;false;d89a1dff;a27315ff;6c4d0eff
team#25;25;25;3be787ff;;false;3be787ff;2cad65ff;1d7343ff
team#26;26;26;28f96bff;;false;28f96bff;1eba50ff;147c35ff
team#27;27;27;bccd1eff;;false;bccd1eff;8d9a16ff;5e660fff
team#28;28;28;103debff;;false;103debff;0c2eb0ff;081e75ff
team#29;29;29;ae45e0ff;;false;ae45e0ff;8234a8ff;572270ff
team#30;30;30;4cf7f0ff;;false;4cf7f0ff;39b9b4ff;267b78ff
team#31;31;31;31d56eff;;false;31d56eff;259f53ff;186a37ff
team#32;32;32;12d759ff;;false;12d759ff;0ea143ff;096b2cff
team#33;33;33;fb4df4ff;;false;fb4df4ff;bc3ab7ff;7d267aff
team#34;34;34;e058e3ff;;false;e058e3ff;a842aaff;702c71ff
team#35;35;35;d830ceff;;false;d830ceff;a2249bff;6c1867ff
team#36;36;36;b555f1ff;;false;b555f1ff;883fb5ff;5a2a78ff
team#37;37;37;f12b82ff;;false;f12b82ff;b42061ff;781541ff
team#38;38;38;961ff3ff;;false;961ff3ff;7017b6ff;4b0f79ff
team#39;39;39;68e310ff;;false;68e310ff;4eaa0cff;347108ff
team#40;40;40;c726e0ff;;false;c726e0ff;951da8ff;631370ff
team#41;41;41;42dd90ff;;false;42dd90ff;31a66cff;216e48ff
team#42;42;42;fdcf3aff;;false;fdcf3aff;bd9b2bff;7e671dff
team#43;43;43;32c7e2ff;;false;32c7e2ff;2695a9ff;196371ff
team#44;44;44;4033e8ff;;false;4033e8ff;3026aeff;201974ff
team#45;45;45;f93baaff;;false;f93baaff;bb2c80ff;7c1d55ff
team#46;46;46;d50efcff;;false;d50efcff;a00abdff;6a077eff
team#47;47;47;5318f8ff;;false;5318f8ff;3e12baff;290c7cff
team#48;48;48;e2214aff;;false;e2214aff;a91938ff;711025ff
team#49;49;49;c150e5ff;;false;c150e5ff;913cacff;602872ff
team#50;50;50;56d0f0ff;;false;56d0f0ff;409cb4ff;2b6878ff
team#51;51;51;34fa0eff;;false;34fa0eff;27bb0aff;1a7d07ff
team#52;52;52;3291e8ff;;false;3291e8ff;256caeff;194874ff
team#53;53;53;e3bd46ff;;false;e3bd46ff;aa8e34ff;715e23ff
team#54;54;54;e65ce8ff;;false;e65ce8ff;ad45aeff;732e74ff
team#55;55;55;29c8eeff;;false;29c8eeff;1e96b2ff;146477ff
team#56;56;56;164de7ff;;false;164de7ff;113aadff;0b2673ff
team#57;57;57;34f1c5ff;;false;34f1c5ff;27b594ff;1a7862ff
team#58;58;58;2409e3ff;;false;2409e3ff;1b07aaff;120471ff
team#59;59;59;4376d2ff;;false;4376d2ff;32589dff;213b69ff
team#60;60;60;25cf0eff;;false;25cf0eff;1c9b0bff;126707ff
team#61;61;61;fe52a0ff;;false;fe52a0ff;be3d78ff;7f2950ff
team#62;62;62;36ddb1ff;;false;36ddb1ff;28a685ff;1b6e58ff
team#63;63;63;2171d1ff;;false;2171d1ff;19559cff;103868ff
team#64;64;64;41ebe8ff;;false;41ebe8ff;30b0aeff;207574ff
team#65;65;65;8de524ff;;false;8de524ff;6aab1bff;467212ff
team#66;66;66;ed139cff;;false;ed139cff;b20e75ff;76094eff
team#67;67;67;27b9d2ff;;false;27b9d2ff;1d8b9eff;135c69ff
team#68;68;68;32f9e5ff;;false;32f9e5ff;25baacff;197c72ff
team#69;69;69;4ae7adff;;false;4ae7adff;38ad82ff;257356ff
team#70;70;70;125cd1ff;;false;125cd1ff;0e459dff;092e68ff
team#71;71;71;cbe214ff;;false;cbe214ff;98a90fff;65710aff
team#72;72;72;0e4be1ff;;false;0e4be1ff;0a38a8ff;072570ff
team#73;73;73;b4da0dff;;false;b4da0dff;87a40aff;5a6d06ff
team#74;74;74;50f575ff;;false;50f575ff;3cb857ff;287a3aff
team#75;75;75;d46947ff;;false;d46947ff;9f4f35ff;6a3423ff
team#76;76;76;53e204ff;;false;53e204ff;3ea903ff;297102ff
team#77;77;77;5bfa9fff;;false;5bfa9fff;44bb77ff;2d7d4fff
team#78;78;78;12d2b7ff;;false;12d2b7ff;0e9e89ff;09695bff
team#79;79;79;40d0e7ff;;false;40d0e7ff;309cadff;206873ff
team#80;80;80;ef0a67ff;;false;ef0a67ff;b3084dff;770533ff
team#81;81;81;f2d64bff;;false;f2d64bff;b6a038ff;796b25ff
team#82;82;82;d3079bff;;false;d3079bff;9e0574ff;69034dff
team#83;83;83;b827d8ff;;false;b827d8ff;8a1da2ff;5c136cff
team#84;84;84;f83126ff;;false;f83126ff;ba241dff;7c1813ff
team#85;85;85;4dce89ff;;false;4dce89ff;3a9b67ff;266744ff
team#86;86;86;47afd6ff;;false;47afd6ff;3583a0ff;23576bff
team#87;87;87;db288eff;;false;db288eff;a41e6bff;6d1447ff
team#88;88;88;4cb9ecff;;false;4cb9ecff;398ab1ff;265c76ff
team#89;89;89;04e856ff;;false;04e856ff;03ae40ff;02742bff
team#90;90;90;fdc927ff;;false;fdc927ff;be961dff;7e6413ff
team#91;91;91;5cf75fff;;false;5cf75fff;45b947ff;2e7b2fff
team#92;92;92;9ed645ff;;false;9ed645ff;76a134ff;4f6b22ff
team#93;93;93;4aa8d5ff;;false;4aa8d5ff;377ea0ff;25546aff
team#94;94;94;04cea9ff;;false;04cea9ff;039a7fff;026754ff
team#95;95;95;cd4ba0ff;;false;cd4ba0ff;993878ff;662550ff
team#96;96;96;e544aeff;;false;e544aeff;ac3382ff;722257ff
team#97;97;97;f6a244ff;;false;f6a244ff;b97933ff;7b5122ff
team#98;98;98;23de0dff;;false;23de0dff;1aa609ff;116f06ff
team#99;99;99;caf540ff;;false;caf540ff;97b830ff;657a20ff
team#100;100;100;3afd98ff;;false;3afd98ff;2cbd72ff;1d7e4cff
team#101;101;101;f136e9ff;;false;f136e9ff;b528afff;781b74ff
team#102;102;102;d64137ff;;false;d64137ff;a03029ff;6b201bff
team#103;103;103;18d2a6ff;;false;18d2a6ff;129e7cff;0c6953ff
team#104;104;104;fb1a11ff;;false;fb1a11ff;bc140dff;7d0d08ff
team#105;105;105;dd0bafff;;false;dd0bafff;a60883ff;6e0557ff
team#106;106;106;35fc7dff;;false;35fc7dff;28bd5dff;1a7e3eff
team#107;107;107;0098edff;;false;0098edff;0072b2ff;004c76ff
team#108;108;108;1fbbfcff;;false;1fbbfcff;178cbdff;0f5d7eff
team#109;109;109;b5f612ff;;false;b5f612ff;88b80eff;5a7b09ff
team#110;110;110;e84864ff;;false;e84864ff;ae364bff;742432ff
team#111;111;111;70d531ff;;false;70d531ff;54a025ff;386a18ff
team#112;112;112;18d497ff;;false;18d497ff;129f71ff;0c6a4bff
team#113;113;113;eb1464ff;;false;eb1464ff;b00f4bff;750a32ff
team#114;114;114;42e6a4ff;;false;42e6a4ff;31ac7bff;217352ff
team#115;115;115;e1488fff;;false;e1488fff;a8366bff;702447ff
team#116;116;116;6b5ef5ff;;false;6b5ef5ff;5046b7ff;352f7aff
team#117;117;117;ba10fbff;;false;ba10fbff;8b0cbcff;5d087dff
team#118;118;118;8ae31eff;;false;8ae31eff;67aa16ff;45710fff
team#119;119;119;5494d6ff;;false;5494d6ff;3f6fa0ff;2a4a6bff
team#120;120;120;59e8b0ff;;false;59e8b0ff;43ae84ff;2c7458ff
team#121;121;121;069ad6ff;;false;069ad6ff;0473a0ff;034d6bff
team#122;122;122;d82c69ff;;false;d82c69ff;a2214eff;6c1634ff
team#123;123;123;45e28aff;;false;45e28aff;33aa67ff;227145ff
team#124;124;124;fddb01ff;;false;fddb01ff;bea401ff;7e6d00ff
team#125;125;125;3a78f6ff;;false;3a78f6ff;2b5ab9ff;1d3c7bff
