// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;health;size;itemCapacity;speed
dagger;0;-1;140.0;1.0;30;3.75
mace;1;-1;500.0;1.125;30;3.0
fortress;2;-1;800.0;1.625;50;2.925
scepter;3;-1;9000.0;2.5;80;2.625
reign;4;-1;24000.0;3.25;110;2.625
nova;5;-1;120.0;1.0;30;4.125
pulsar;6;-1;320.0;1.25;40;5.25
quasar;7;-1;650.0;1.25;40;3.0
vela;8;-1;7500.0;2.875;90;2.925
corvus;9;-1;18000.0;3.625;120;2.25
crawler;10;-1;180.0;1.0;30;7.5
atrax;11;-1;600.0;1.25;40;3.75
spiroct;12;-1;900.0;1.5;50;3.0
arkyid;13;-1;8000.0;2.625;90;3.75
toxopid;14;-1;22000.0;2.625;90;3.75
flare;15;-1;75.0;0.75;20;22.5
horizon;16;-1;340.0;1.125;30;12.75
zenith;17;-1;700.0;2.5;80;13.5
antumbra;18;-1;7000.0;7.0;240;6.0
eclipse;19;-1;20000.0;7.25;240;3.8999999
mono;20;-1;100.0;0.75;20;11.25
poly;21;-1;400.0;1.0;30;19.5
mega;22;-1;460.0;1.875;60;18.75
quad;23;-1;6000.0;4.0;130;10.5
oct;24;-1;24000.0;7.5;250;6.0
risso;25;-1;280.0;1.125;30;8.25
minke;26;-1;600.0;1.375;40;6.75
bryde;27;-1;900.0;2.0;60;6.375
sei;28;-1;10500.0;4.875;160;5.4750004
omura;29;-1;22000.0;6.25;210;4.65
alpha;30;-1;150.0;1.0;30;22.5
beta;31;-1;170.0;1.125;50;24.75
gamma;32;-1;220.0;1.375;70;26.625
block;33;-1;1.0;0.0;0;0.0
