// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;global;isobj;constant;numval;isnull;privileged
the end;global;true;true;0.0;true;false
false;global;false;true;0.0;true;false
true;global;false;true;1.0;true;false
null;global;true;true;0.0;true;false
@ctrlProcessor;global;false;true;1.0;true;false
@ctrlPlayer;global;false;true;2.0;true;false
@ctrlCommand;global;false;true;3.0;true;false
@copper;global;true;true;0.0;false;false
@lead;global;true;true;0.0;false;false
@metaglass;global;true;true;0.0;false;false
@graphite;global;true;true;0.0;false;false
@sand;global;true;true;0.0;false;false
@coal;global;true;true;0.0;false;false
@titanium;global;true;true;0.0;false;false
@thorium;global;true;true;0.0;false;false
@scrap;global;true;true;0.0;false;false
@silicon;global;true;true;0.0;false;false
@plastanium;global;true;true;0.0;false;false
@phase-fabric;global;true;true;0.0;false;false
@surge-alloy;global;true;true;0.0;false;false
@spore-pod;global;true;true;0.0;false;false
@blast-compound;global;true;true;0.0;false;false
@pyratite;global;true;true;0.0;false;false
@water;global;true;true;0.0;false;false
@slag;global;true;true;0.0;false;false
@oil;global;true;true;0.0;false;false
@cryofluid;global;true;true;0.0;false;false
@build1;global;true;true;0.0;false;false
@build2;global;true;true;0.0;false;false
@build3;global;true;true;0.0;false;false
@build4;global;true;true;0.0;false;false
@build5;global;true;true;0.0;false;false
@build6;global;true;true;0.0;false;false
@build7;global;true;true;0.0;false;false
@build8;global;true;true;0.0;false;false
@build9;global;true;true;0.0;false;false
@build10;global;true;true;0.0;false;false
@build11;global;true;true;0.0;false;false
@build12;global;true;true;0.0;false;false
@build13;global;true;true;0.0;false;false
@build14;global;true;true;0.0;false;false
@build15;global;true;true;0.0;false;false
@build16;global;true;true;0.0;false;false
@graphite-press;global;true;true;0.0;false;false
@multi-press;global;true;true;0.0;false;false
@silicon-smelter;global;true;true;0.0;false;false
@silicon-crucible;global;true;true;0.0;false;false
@kiln;global;true;true;0.0;false;false
@plastanium-compressor;global;true;true;0.0;false;false
@phase-weaver;global;true;true;0.0;false;false
@alloy-smelter;global;true;true;0.0;false;false
@cryofluid-mixer;global;true;true;0.0;false;false
@pyratite-mixer;global;true;true;0.0;false;false
@blast-mixer;global;true;true;0.0;false;false
@melter;global;true;true;0.0;false;false
@separator;global;true;true;0.0;false;false
@disassembler;global;true;true;0.0;false;false
@spore-press;global;true;true;0.0;false;false
@pulverizer;global;true;true;0.0;false;false
@coal-centrifuge;global;true;true;0.0;false;false
@incinerator;global;true;true;0.0;false;false
@copper-wall;global;true;true;0.0;false;false
@copper-wall-large;global;true;true;0.0;false;false
@titanium-wall;global;true;true;0.0;false;false
@titanium-wall-large;global;true;true;0.0;false;false
@plastanium-wall;global;true;true;0.0;false;false
@plastanium-wall-large;global;true;true;0.0;false;false
@thorium-wall;global;true;true;0.0;false;false
@thorium-wall-large;global;true;true;0.0;false;false
@phase-wall;global;true;true;0.0;false;false
@phase-wall-large;global;true;true;0.0;false;false
@surge-wall;global;true;true;0.0;false;false
@surge-wall-large;global;true;true;0.0;false;false
@door;global;true;true;0.0;false;false
@door-large;global;true;true;0.0;false;false
@scrap-wall;global;true;true;0.0;false;false
@scrap-wall-large;global;true;true;0.0;false;false
@scrap-wall-huge;global;true;true;0.0;false;false
@scrap-wall-gigantic;global;true;true;0.0;false;false
@thruster;global;true;true;0.0;false;false
@mender;global;true;true;0.0;false;false
@mend-projector;global;true;true;0.0;false;false
@overdrive-projector;global;true;true;0.0;false;false
@overdrive-dome;global;true;true;0.0;false;false
@force-projector;global;true;true;0.0;false;false
@shock-mine;global;true;true;0.0;false;false
@conveyor;global;true;true;0.0;false;false
@titanium-conveyor;global;true;true;0.0;false;false
@plastanium-conveyor;global;true;true;0.0;false;false
@armored-conveyor;global;true;true;0.0;false;false
@junction;global;true;true;0.0;false;false
@bridge-conveyor;global;true;true;0.0;false;false
@phase-conveyor;global;true;true;0.0;false;false
@sorter;global;true;true;0.0;false;false
@inverted-sorter;global;true;true;0.0;false;false
@router;global;true;true;0.0;false;false
@distributor;global;true;true;0.0;false;false
@overflow-gate;global;true;true;0.0;false;false
@underflow-gate;global;true;true;0.0;false;false
@mass-driver;global;true;true;0.0;false;false
@payload-conveyor;global;true;true;0.0;false;false
@payload-router;global;true;true;0.0;false;false
@mechanical-pump;global;true;true;0.0;false;false
@rotary-pump;global;true;true;0.0;false;false
@thermal-pump;global;true;true;0.0;false;false
@conduit;global;true;true;0.0;false;false
@pulse-conduit;global;true;true;0.0;false;false
@plated-conduit;global;true;true;0.0;false;false
@liquid-router;global;true;true;0.0;false;false
@liquid-tank;global;true;true;0.0;false;false
@liquid-junction;global;true;true;0.0;false;false
@bridge-conduit;global;true;true;0.0;false;false
@phase-conduit;global;true;true;0.0;false;false
@power-node;global;true;true;0.0;false;false
@power-node-large;global;true;true;0.0;false;false
@surge-tower;global;true;true;0.0;false;false
@diode;global;true;true;0.0;false;false
@battery;global;true;true;0.0;false;false
@battery-large;global;true;true;0.0;false;false
@combustion-generator;global;true;true;0.0;false;false
@thermal-generator;global;true;true;0.0;false;false
@steam-generator;global;true;true;0.0;false;false
@differential-generator;global;true;true;0.0;false;false
@rtg-generator;global;true;true;0.0;false;false
@solar-panel;global;true;true;0.0;false;false
@solar-panel-large;global;true;true;0.0;false;false
@thorium-reactor;global;true;true;0.0;false;false
@impact-reactor;global;true;true;0.0;false;false
@mechanical-drill;global;true;true;0.0;false;false
@pneumatic-drill;global;true;true;0.0;false;false
@laser-drill;global;true;true;0.0;false;false
@blast-drill;global;true;true;0.0;false;false
@water-extractor;global;true;true;0.0;false;false
@cultivator;global;true;true;0.0;false;false
@oil-extractor;global;true;true;0.0;false;false
@core-shard;global;true;true;0.0;false;false
@core-foundation;global;true;true;0.0;false;false
@core-nucleus;global;true;true;0.0;false;false
@vault;global;true;true;0.0;false;false
@container;global;true;true;0.0;false;false
@unloader;global;true;true;0.0;false;false
@duo;global;true;true;0.0;false;false
@scatter;global;true;true;0.0;false;false
@scorch;global;true;true;0.0;false;false
@hail;global;true;true;0.0;false;false
@wave;global;true;true;0.0;false;false
@lancer;global;true;true;0.0;false;false
@arc;global;true;true;0.0;false;false
@parallax;global;true;true;0.0;false;false
@swarmer;global;true;true;0.0;false;false
@salvo;global;true;true;0.0;false;false
@segment;global;true;true;0.0;false;false
@tsunami;global;true;true;0.0;false;false
@fuse;global;true;true;0.0;false;false
@ripple;global;true;true;0.0;false;false
@cyclone;global;true;true;0.0;false;false
@foreshadow;global;true;true;0.0;false;false
@spectre;global;true;true;0.0;false;false
@meltdown;global;true;true;0.0;false;false
@command-center;global;true;true;0.0;false;false
@ground-factory;global;true;true;0.0;false;false
@air-factory;global;true;true;0.0;false;false
@naval-factory;global;true;true;0.0;false;false
@additive-reconstructor;global;true;true;0.0;false;false
@multiplicative-reconstructor;global;true;true;0.0;false;false
@exponential-reconstructor;global;true;true;0.0;false;false
@tetrative-reconstructor;global;true;true;0.0;false;false
@repair-point;global;true;true;0.0;false;false
@resupply-point;global;true;true;0.0;false;false
@power-source;global;true;true;0.0;false;false
@power-void;global;true;true;0.0;false;false
@item-source;global;true;true;0.0;false;false
@item-void;global;true;true;0.0;false;false
@liquid-source;global;true;true;0.0;false;false
@liquid-void;global;true;true;0.0;false;false
@illuminator;global;true;true;0.0;false;false
@legacy-mech-pad;global;true;true;0.0;false;false
@legacy-unit-factory;global;true;true;0.0;false;false
@legacy-unit-factory-air;global;true;true;0.0;false;false
@legacy-unit-factory-ground;global;true;true;0.0;false;false
@launch-pad;global;true;true;0.0;false;false
@launch-pad-large;global;true;true;0.0;false;false
@interplanetary-accelerator;global;true;true;0.0;false;false
@message;global;true;true;0.0;false;false
@switch;global;true;true;0.0;false;false
@micro-processor;global;true;true;0.0;false;false
@logic-processor;global;true;true;0.0;false;false
@hyper-processor;global;true;true;0.0;false;false
@memory-cell;global;true;true;0.0;false;false
@memory-bank;global;true;true;0.0;false;false
@logic-display;global;true;true;0.0;false;false
@large-logic-display;global;true;true;0.0;false;false
@block-forge;global;true;true;0.0;false;false
@block-loader;global;true;true;0.0;false;false
@block-unloader;global;true;true;0.0;false;false
@solid;global;true;true;0.0;false;false
@air;global;true;true;0.0;false;false
@dagger;global;true;true;0.0;false;false
@mace;global;true;true;0.0;false;false
@fortress;global;true;true;0.0;false;false
@scepter;global;true;true;0.0;false;false
@reign;global;true;true;0.0;false;false
@nova;global;true;true;0.0;false;false
@pulsar;global;true;true;0.0;false;false
@quasar;global;true;true;0.0;false;false
@vela;global;true;true;0.0;false;false
@corvus;global;true;true;0.0;false;false
