// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;op;symbol
add;true;+
sub;true;-
mul;true;*
div;true;/
idiv;true;//
mod;true;%
pow;true;^
equal;true;==
notEqual;true;not
land;true;and
lessThan;true;<
lessThanEq;true;<=
greaterThan;true;>
greaterThanEq;true;>=
strictEqual;true;===
shl;true;<<
shr;true;>>
or;true;or
and;true;b-and
xor;true;xor
not;true;flip
max;true;max
min;true;min
angle;true;angle
angleDiff;true;anglediff
len;true;len
noise;true;noise
abs;true;abs
log;true;log
log10;true;log10
floor;true;floor
ceil;true;ceil
sqrt;true;sqrt
rand;true;rand
sin;true;sin
cos;true;cos
tan;true;tan
asin;true;asin
acos;true;acos
atan;true;atan
