// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;width;height
additive-reconstructor;96;96
additive-reconstructor-icon-editor;96;96
additive-reconstructor-icon-logic;96;96
additive-reconstructor-top;96;96
aegires;212;235
aegires-cell;180;228
aegires-icon-logic;60;64
aegires-wreck0;212;235
aegires-wreck1;176;235
aegires-wreck2;212;233
afflict;64;126
afflict-blade-glow-heat;96;92
afflict-blade-heat;46;114
afflict-blade-l;118;114
afflict-blade-l-outline;126;122
afflict-blade-r;118;114
afflict-blade-r-outline;126;122
afflict-icon-editor;128;128
afflict-icon-logic;96;96
afflict-outline;72;128
afflict-preview;126;130
air-factory;96;96
air-factory-icon-editor;96;96
air-factory-icon-logic;96;96
alpha;46;46
alpha-bg;128;128
alpha-bg-line;128;16
alpha-cell;12;38
alpha-icon-logic;46;46
alpha-wreck0;46;46
alpha-wreck1;44;38
alpha-wreck2;46;46
alphaaaa;40;36
anthicus;92;113
anthicus-blade;37;11
anthicus-blade-heat;45;23
anthicus-blade-outline;43;17
anthicus-cell;70;107
anthicus-icon-logic;48;60
anthicus-leg;51;45
anthicus-leg-base;64;41
anthicus-missile;28;28
anthicus-missile-cell;10;18
anthicus-missile-icon-logic;28;28
anthicus-missile-wreck0;8;12
anthicus-missile-wreck1;24;28
anthicus-missile-wreck2;28;28
anthicus-weapon;26;44
anthicus-weapon-blade;34;42
anthicus-weapon-blade-heat;34;26
anthicus-weapon-blade-outline;40;48
anthicus-weapon-heat;24;50
anthicus-weapon-outline;32;50
anthicus-wreck0;86;105
anthicus-wreck1;90;81
anthicus-wreck2;92;113
antumbra;216;240
antumbra-cell;200;168
antumbra-icon-logic;62;64
antumbra-wreck0;216;226
antumbra-wreck1;196;240
antumbra-wreck2;216;238
arc;34;34
arc-heat;18;26
arc-icon-editor;32;32
arc-icon-logic;32;32
arkycite-floor;32;32
arkycite-floor-edge;96;96
arkycite-floor-icon-editor;32;32
arkycite-icon-logic;28;32
arkyic-boulder-icon-editor;46;48
arkyic-boulder-shadow1;70;70
arkyic-boulder-shadow2;70;70
arkyic-boulder-shadow3;70;70
arkyic-boulder1;46;48
arkyic-boulder2;46;40
arkyic-boulder3;38;40
arkyic-stone-edge;96;96
arkyic-stone-icon-editor;32;32
arkyic-stone1;32;32
arkyic-stone2;32;32
arkyic-stone3;32;32
arkyic-vent-icon-editor;96;96
arkyic-vent1;96;96
arkyic-vent2;96;96
arkyic-wall-icon-editor;32;32
arkyic-wall-large;64;64
arkyic-wall1;32;32
arkyic-wall2;32;32
arkyic-wall3;32;32
arkyid;128;96
arkyid-cell;106;96
arkyid-foot;58;70
arkyid-icon-logic;64;64
arkyid-joint-base;60;60
arkyid-leg;56;56
arkyid-leg-base;104;54
arkyid-wreck0;128;106
arkyid-wreck1;128;122
arkyid-wreck2;128;114
armored-conveyor-0-0;32;32
armored-conveyor-0-1;32;32
armored-conveyor-0-2;32;32
armored-conveyor-0-3;32;32
armored-conveyor-1-0;32;32
armored-conveyor-1-1;32;32
armored-conveyor-1-2;32;32
armored-conveyor-1-3;32;32
armored-conveyor-2-0;32;32
armored-conveyor-2-1;32;32
armored-conveyor-2-2;32;32
armored-conveyor-2-3;32;32
armored-conveyor-3-0;32;32
armored-conveyor-3-1;32;32
armored-conveyor-3-2;32;32
armored-conveyor-3-3;32;32
armored-conveyor-4-0;32;32
armored-conveyor-4-1;32;32
armored-conveyor-4-2;32;32
armored-conveyor-4-3;32;32
armored-conveyor-icon-editor;32;32
armored-conveyor-icon-logic;32;32
armored-duct-icon-editor;32;32
armored-duct-icon-logic;32;32
armored-duct-top-0;32;32
armored-duct-top-1;32;32
armored-duct-top-2;32;32
armored-duct-top-3;32;32
armored-duct-top-4;32;32
arrow-glow;32;32
artillery;34;50
artillery-mount;32;64
artillery-outline;40;56
assembly-drone;46;53
assembly-drone-cell;18;51
assembly-drone-icon-logic;47;53
assembly-drone-wreck0;42;47
assembly-drone-wreck1;46;53
assembly-drone-wreck2;46;47
atmospheric-concentrator;96;96
atmospheric-concentrator-bottom;96;96
atmospheric-concentrator-heat;96;96
atmospheric-concentrator-icon-editor;96;96
atmospheric-concentrator-icon-logic;96;96
atrax;60;64
atrax-base;42;42
atrax-cell;34;62
atrax-foot;40;40
atrax-icon-logic;62;50
atrax-joint;26;26
atrax-leg;36;26
atrax-leg-base;36;26
atrax-weapon;26;50
atrax-weapon-outline;32;56
atrax-wreck0;80;64
atrax-wreck1;80;56
atrax-wreck2;80;58
avert;90;92
avert-cell;50;60
avert-icon-logic;62;64
avert-weapon;36;43
avert-weapon-outline;42;49
avert-wreck0;90;92
avert-wreck1;90;92
avert-wreck2;60;96
bar;27;36
bar-top;27;36
barrier-projector;96;96
barrier-projector-team;96;96
basalt-boulder-icon-editor;46;46
basalt-boulder1;46;46
basalt-boulder2;46;46
basalt-edge;96;96
basalt-icon-editor;32;32
basalt1;32;32
basalt2;32;32
basalt3;32;32
basic-assembler-module;160;160
basic-assembler-module-icon-editor;160;160
basic-assembler-module-icon-logic;96;96
basic-assembler-module-side1;160;124
basic-assembler-module-side2;160;124
basic-assembler-module-top;4;4
battery;32;32
battery-icon-editor;32;32
battery-icon-logic;32;32
battery-large;96;96
battery-large-icon-editor;96;96
battery-large-icon-logic;96;96
battery-large-top;96;96
battery-top;32;32
beam-link;96;96
beam-link-glow;120;120
beam-link-icon-editor;96;96
beam-link-icon-logic;96;96
beam-node;32;32
beam-node-icon-editor;32;32
beam-node-icon-logic;32;32
beam-tower;96;96
beam-tower-icon-editor;96;96
beam-tower-icon-logic;96;96
beam-weapon;28;60
beam-weapon-outline;34;66
beryllic-boulder-icon-editor;46;48
beryllic-boulder1;46;48
beryllic-boulder2;46;48
