// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;op;symbol
add;true;+
sub;true;-
mul;true;*
div;true;/
idiv;true;//
mod;true;%
emod;true;%%
pow;true;^
equal;true;==
notEqual;true;not
land;true;and
lessThan;true;<
lessThanEq;true;<=
greaterThan;true;>
greaterThanEq;true;>=
strictEqual;true;===
shl;true;<<
shr;true;>>
ushr;true;>>>
or;true;or
and;true;b-and
xor;true;xor
not;true;flip
max;true;max
min;true;min
angle;true;angle
angleDiff;true;anglediff
len;true;len
noise;true;noise
abs;true;abs
sign;true;sign
log;true;log
logn;true;logn
log10;true;log10
floor;true;floor
ceil;true;ceil
round;true;round
sqrt;true;sqrt
rand;true;rand
sin;true;sin
cos;true;cos
tan;true;tan
asin;true;asin
acos;true;acos
atan;true;atan
